,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1025,2018-06-19,153.75,154.919998,153.449997,153.960007,153.960007,529300.0,529300.0,0.21001,0.137,154.11,"June 19, 18",0.00137
1026,2018-06-18,154.740005,155.440002,153.779999,154.979996,154.979996,488600.0,488600.0,0.23999,0.155,154.73333,"June 18, 18",0.00155
1027,2018-06-15,154.179993,155.240005,151.800003,154.880005,154.880005,917400.0,917400.0,0.70001,0.454,153.97334,"June 15, 18",0.00454
1028,2018-06-14,157.75,157.75,155.710007,156.039993,156.039993,424200.0,424200.0,-1.71001,-1.084,156.5,"June 14, 18",-0.01084
1029,2018-06-13,157.550003,158.460007,156.070007,157.0,157.0,341900.0,341900.0,-0.55,-0.349,157.17667,"June 13, 18",-0.00349
1030,2018-06-12,157.559998,158.130005,156.660004,157.270004,157.270004,425900.0,425900.0,-0.28999,-0.184,157.35334,"June 12, 18",-0.00184
1031,2018-06-11,158.460007,158.460007,156.660004,157.509995,157.509995,302100.0,302100.0,-0.95001,-0.6,157.54334,"June 11, 18",-0.006
1032,2018-06-08,156.080002,158.199997,152.100006,158.130005,158.130005,502000.0,502000.0,2.05,1.313,156.14334,"June 08, 18",0.01313
1033,2018-06-07,155.5,156.100006,154.580002,155.889999,155.889999,435500.0,435500.0,0.39,0.251,155.52334,"June 07, 18",0.00251
1034,2018-06-06,153.050003,155.059998,152.119995,154.910004,154.910004,429600.0,429600.0,1.86,1.215,154.03,"June 06, 18",0.01215
1035,2018-06-05,152.559998,153.440002,151.940002,153.139999,153.139999,403600.0,403600.0,0.58,0.38,152.84,"June 05, 18",0.0038
1036,2018-06-04,151.940002,153.059998,151.259995,152.729996,152.729996,346800.0,346800.0,0.78999,0.52,152.35,"June 04, 18",0.0052
1037,2018-06-01,152.169998,153.429993,151.289993,151.720001,151.720001,579100.0,579100.0,-0.45,-0.296,152.14666,"June 01, 18",-0.00296
1038,2018-05-31,152.839996,152.960007,150.800003,151.149994,151.149994,1003200.0,1003200.0,-1.69,-1.106,151.63667,"May 31, 18",-0.01106
1039,2018-05-30,151.550003,153.789993,151.509995,152.899994,152.899994,809800.0,809800.0,1.34999,0.891,152.73333,"May 30, 18",0.00891
1040,2018-05-29,153.460007,154.0,150.190002,150.75,150.75,701300.0,701300.0,-2.71001,-1.766,151.64667,"May 29, 18",-0.01766
1041,2018-05-25,156.169998,157.100006,154.860001,155.259995,155.259995,363900.0,363900.0,-0.91,-0.583,155.74,"May 25, 18",-0.00583
1042,2018-05-24,156.229996,156.729996,153.570007,156.559998,156.559998,603000.0,603000.0,0.33,0.211,155.62,"May 24, 18",0.00211
1043,2018-05-23,155.309998,156.800003,155.279999,156.729996,156.729996,542400.0,542400.0,1.42,0.914,156.27,"May 23, 18",0.00914
1044,2018-05-22,156.009995,157.070007,155.160004,155.880005,155.880005,395200.0,395200.0,-0.12999,-0.083,156.03667,"May 22, 18",-0.00083
1045,2018-05-21,154.970001,156.600006,154.259995,155.619995,155.619995,274300.0,274300.0,0.64999,0.419,155.49333,"May 21, 18",0.00419
1046,2018-05-18,153.839996,154.820007,153.139999,154.309998,154.309998,432900.0,432900.0,0.47,0.306,154.09,"May 18, 18",0.00306
1047,2018-05-17,153.360001,154.820007,151.770004,154.139999,154.139999,332100.0,332100.0,0.78,0.509,153.57667,"May 17, 18",0.00509
1048,2018-05-16,154.369995,155.380005,152.309998,153.240005,153.240005,647800.0,647800.0,-1.12999,-0.732,153.64334,"May 16, 18",-0.00732
1049,2018-05-15,154.25,155.960007,153.520004,153.949997,153.949997,1125000.0,1125000.0,-0.3,-0.194,154.47667,"May 15, 18",-0.00194
1050,2018-05-14,155.910004,156.960007,153.529999,154.419998,154.419998,820900.0,820900.0,-1.49001,-0.956,154.97,"May 14, 18",-0.00956
1051,2018-05-11,155.220001,156.130005,154.039993,155.369995,155.369995,638600.0,638600.0,0.14999,0.097,155.18,"May 11, 18",0.00097
1052,2018-05-10,152.929993,155.809998,151.600006,155.619995,155.619995,679400.0,679400.0,2.69,1.759,154.34333,"May 10, 18",0.01759
1053,2018-05-09,153.869995,153.869995,149.929993,152.210007,152.210007,1165000.0,1165000.0,-1.65999,-1.079,152.00333,"May 09, 18",-0.01079
1054,2018-05-08,151.539993,153.729996,149.979996,153.339996,153.339996,917300.0,917300.0,1.8,1.188,152.35,"May 08, 18",0.01188
1055,2018-05-07,148.539993,153.479996,145.570007,151.320007,151.320007,848500.0,848500.0,2.78001,1.872,150.12334,"May 07, 18",0.01872
1056,2018-05-04,146.830002,149.559998,145.979996,148.910004,148.910004,640200.0,640200.0,2.08,1.417,148.15,"May 04, 18",0.01417
1057,2018-05-03,145.800003,147.559998,144.339996,147.460007,147.460007,602200.0,602200.0,1.66,1.139,146.45333,"May 03, 18",0.01139
1058,2018-05-02,148.699997,148.929993,146.139999,146.589996,146.589996,650600.0,650600.0,-2.11,-1.419,147.22,"May 02, 18",-0.01419
1059,2018-05-01,147.869995,148.639999,146.789993,148.550003,148.550003,560200.0,560200.0,0.68001,0.46,147.99333,"May 01, 18",0.0046
1060,2018-04-30,150.889999,151.009995,148.449997,148.509995,148.509995,517200.0,517200.0,-2.38,-1.577,149.32333,"April 30, 18",-0.01577
1061,2018-04-27,149.830002,151.380005,149.139999,150.75,150.75,469100.0,469100.0,0.92,0.614,150.42333,"April 27, 18",0.00614
1062,2018-04-26,149.679993,151.179993,147.220001,149.949997,149.949997,400400.0,400400.0,0.27,0.18,149.45,"April 26, 18",0.0018
1063,2018-04-25,149.190002,149.910004,147.759995,149.350006,149.350006,476700.0,476700.0,0.16,0.107,149.00667,"April 25, 18",0.00107
1064,2018-04-24,151.619995,152.509995,148.699997,149.630005,149.630005,433500.0,433500.0,-1.98999,-1.312,150.28,"April 24, 18",-0.01312
1065,2018-04-23,151.5,152.610001,150.169998,151.059998,151.059998,486900.0,486900.0,-0.44,-0.29,151.28,"April 23, 18",-0.0029
1066,2018-04-20,153.070007,153.389999,150.580002,151.410004,151.410004,512300.0,512300.0,-1.66,-1.084,151.79333,"April 20, 18",-0.01084
1067,2018-04-19,152.550003,154.690002,150.990005,152.690002,152.690002,479600.0,479600.0,0.14,0.092,152.79,"April 19, 18",0.00092
1068,2018-04-18,153.809998,154.139999,152.539993,152.660004,152.660004,398000.0,398000.0,-1.14999,-0.748,153.11333,"April 18, 18",-0.00748
1069,2018-04-17,152.850006,154.399994,152.539993,152.940002,152.940002,522500.0,522500.0,0.09,0.059,153.29333,"April 17, 18",0.00059
1070,2018-04-16,150.350006,154.029999,142.669998,152.119995,152.119995,659700.0,659700.0,1.76999,1.177,149.60666,"April 16, 18",0.01177
1071,2018-04-13,149.910004,150.830002,149.279999,150.080002,150.080002,608900.0,608900.0,0.17,0.113,150.06333,"April 13, 18",0.00113
1072,2018-04-12,147.5,148.860001,146.949997,147.889999,147.889999,510800.0,510800.0,0.39,0.264,147.9,"April 12, 18",0.00264
1073,2018-04-11,146.0,147.639999,145.320007,147.029999,147.029999,530800.0,530800.0,1.03,0.705,146.66334,"April 11, 18",0.00705
1074,2018-04-10,146.869995,148.270004,146.479996,147.020004,147.020004,577100.0,577100.0,0.15001,0.102,147.25667,"April 10, 18",0.00102
1075,2018-04-09,146.050003,148.399994,145.740005,146.0,146.0,528000.0,528000.0,-0.05,-0.034,146.71333,"April 09, 18",-0.00034
1076,2018-04-06,147.740005,148.740005,145.149994,146.149994,146.149994,501900.0,501900.0,-1.59001,-1.076,146.68,"April 06, 18",-0.01076
1077,2018-04-05,149.669998,151.990005,148.369995,148.5,148.5,479900.0,479900.0,-1.17,-0.782,149.62,"April 05, 18",-0.00782
1078,2018-04-04,146.369995,149.240005,146.020004,148.949997,148.949997,608400.0,608400.0,2.58,1.763,148.07,"April 04, 18",0.01763
1079,2018-04-03,149.429993,150.050003,146.809998,148.220001,148.220001,606600.0,606600.0,-1.20999,-0.81,148.36,"April 03, 18",-0.0081
1080,2018-04-02,152.350006,152.5,146.919998,148.990005,148.990005,640400.0,640400.0,-3.36,-2.205,149.47,"April 02, 18",-0.02205
1081,2018-03-29,151.990005,153.619995,151.580002,152.190002,152.190002,615700.0,615700.0,0.2,0.132,152.46333,"March 29, 18",0.00132
1082,2018-03-28,150.419998,153.619995,149.690002,151.289993,151.289993,682200.0,682200.0,0.87,0.578,151.53333,"March 28, 18",0.00578
1083,2018-03-27,154.039993,154.729996,150.619995,151.380005,151.380005,619600.0,619600.0,-2.65999,-1.727,152.24333,"March 27, 18",-0.01727
1084,2018-03-26,152.220001,154.330002,150.649994,154.139999,154.139999,776000.0,776000.0,1.92,1.261,153.04,"March 26, 18",0.01261
1085,2018-03-23,155.279999,157.029999,151.350006,151.509995,151.509995,492100.0,492100.0,-3.77,-2.428,153.29667,"March 23, 18",-0.02428
1086,2018-03-22,157.130005,158.649994,154.559998,154.660004,154.660004,480100.0,480100.0,-2.47,-1.572,155.95667,"March 22, 18",-0.01572
1087,2018-03-21,159.919998,160.259995,158.089996,158.149994,158.149994,554100.0,554100.0,-1.77,-1.107,158.83333,"March 21, 18",-0.01107
1088,2018-03-20,159.990005,160.429993,159.190002,159.539993,159.539993,789700.0,789700.0,-0.45001,-0.281,159.72,"March 20, 18",-0.00281
1089,2018-03-19,162.350006,162.899994,158.740005,159.179993,159.179993,733700.0,733700.0,-3.17001,-1.953,160.27333,"March 19, 18",-0.01953
1090,2018-03-16,162.279999,163.990005,160.75,162.800003,162.800003,742000.0,742000.0,0.52,0.32,162.51334,"March 16, 18",0.0032
1091,2018-03-15,163.210007,163.990005,161.460007,162.279999,162.279999,336500.0,336500.0,-0.93001,-0.57,162.57667,"March 15, 18",-0.0057
1092,2018-03-14,163.130005,163.300003,161.169998,161.529999,161.529999,316900.0,316900.0,-1.60001,-0.981,162.0,"March 14, 18",-0.00981
1093,2018-03-13,163.520004,164.389999,161.690002,162.389999,162.389999,399300.0,399300.0,-1.13001,-0.691,162.82333,"March 13, 18",-0.00691
